City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Atar,MR,2021-01-30 23:01:28,20.5169,-13.0499,68.34,21,59,8.25
183,Ilulissat,GL,2021-01-30 23:01:49,69.2167,-51.1,6.8,66,90,6.91
184,Beian,NO,2021-01-30 23:11:32,63.6559,9.5683,32.0,86,40,6.91
185,Camacha,PT,2021-01-30 23:10:40,33.0833,-16.3333,60.8,94,40,5.75
186,Kudahuvadhoo,MV,2021-01-30 23:07:10,2.6708,72.8944,80.85,78,89,14.27
187,Kovdor,RU,2021-01-30 23:11:32,67.5662,30.4758,7.99,95,100,2.06
188,Yar-Sale,RU,2021-01-30 23:01:45,66.8333,70.8333,-19.35,85,100,17.29
189,Gitarama,RW,2021-01-30 23:11:32,-2.0744,29.7567,66.2,82,20,3.44
190,Cam Ranh,VN,2021-01-30 23:11:32,11.9214,109.1591,71.6,73,20,4.61
191,Tura,IN,2021-01-30 23:01:52,25.5198,90.2201,50.31,46,0,3.04
192,Det Udom,TH,2021-01-30 23:11:33,14.906,105.0784,64.63,77,27,3.31
193,Povenets,RU,2021-01-30 23:11:33,62.8487,34.8262,18.14,97,100,5.53
194,Gwanda,ZW,2021-01-30 23:11:33,-20.9333,29.0,69.87,90,100,7.54
195,Mochudi,BW,2021-01-30 23:11:33,-24.4167,26.15,69.8,100,0,3.44
196,Tuatapere,NZ,2021-01-30 23:02:10,-46.1333,167.6833,63.23,50,91,2.01
197,Balingasay,PH,2021-01-30 23:11:34,16.3573,119.8564,73.35,69,100,15.48
198,Nantucket,US,2021-01-30 23:01:48,41.2835,-70.0995,19.4,49,1,10.36
199,Luderitz,NA,2021-01-30 23:02:25,-26.6481,15.1594,66.97,61,0,20.56
200,Sungaipenuh,ID,2021-01-30 23:07:27,-2.0833,101.3833,63.21,94,100,2.73
201,Pisco,PE,2021-01-30 23:02:12,-13.7,-76.2167,73.4,73,0,19.57
202,Kamennogorsk,RU,2021-01-30 23:11:34,60.9545,29.1339,21.99,93,68,3.78
203,Jalu,LY,2021-01-30 23:01:48,29.0331,21.5482,60.46,42,0,10.98
204,Turukhansk,RU,2021-01-30 23:06:41,65.8167,87.9833,-32.35,76,0,5.08
205,Bayonet Point,US,2021-01-30 23:11:34,28.3267,-82.6834,69.01,60,89,5.73
206,Caravelas,BR,2021-01-30 23:02:02,-17.7125,-39.2481,76.89,81,0,7.11
207,Viransehir,TR,2021-01-30 23:11:35,37.2353,39.7631,40.35,83,100,17.05
208,Gunnedah,AU,2021-01-30 23:11:35,-30.9833,150.25,78.8,61,40,5.75
